"loc_name","datetime","loc_x","loc_y"
"o","21/03/2021 16:17:25",-1.768708102,0.4173851893
"w","23/03/2021 15:26:01",-0.1544844573,0.05325715459
"u","21/03/2021 17:15:00",-0.4722267551,0.04398000721
"p","21/03/2021 16:28:51",-1.74087666,0.9647368849
"j","21/03/2021 16:05:33",0.1493421195,0.1205164731
"q","23/03/2021 16:13:06",-0.1080987204,0.6585910213
"b","21/03/2021 14:38:35",-0.6415346948,0.1297936205
"g","21/03/2021 15:42:24",-0.1359301625,0.5356688184
"v","21/03/2021 17:27:46",-0.8433126504,0.03470285983
"d","21/03/2021 15:06:32",-0.6763239975,0.7026574713
"e","21/03/2021 15:17:45",-0.7296675949,1.07142408
"z","23/03/2021 16:00:49",-0.5580403684,0.7188924792
"x","23/03/2021 15:38:15",0.003227048211,-8.64428523E-05
"k","21/03/2021 16:17:49",0.1841314222,0.5031988026
"l","21/03/2021 16:28:55",0.2351557328,1.048231211
"s","21/03/2021 16:52:29",-0.6252996869,0.932266869
"i","21/03/2021 16:05:33",-0.1034601467,0.12283576
"y","23/03/2021 15:49:07",-0.5441246473,0.3825958866
"h","21/03/2021 15:52:33",-0.08722513876,0.1205164731
"r","21/03/2021 16:40:47",-1.070602761,0.9508211638
"m","21/03/2021 14:25:30",-1.406899354,0.4173851893
"c","21/03/2021 14:50:11",-0.6415346948,0.4104273288
"a","21/03/2021 14:23:28",0.5436208832,0.5078373763
"f","21/03/2021 15:29:52",-0.1962316205,1.069104793
"n","21/03/2021 16:05:13",-1.882353157,0.01614856507
"t","21/03/2021 17:03:56",-0.1823158994,0.9902490402
"h6","14/09/2021 13:04:43",-0.9654649738,0.9602001866
"h5","14/09/2021 13:00:35",-0.6306739082,0.9212176652
"h25","14/09/2021 14:05:53",0.1145801762,1.010648155
"h30","14/09/2021 14:19:01",-0.5251917916,0.2011875653
"h29","14/09/2021 14:18:37",-0.5251917916,0.2011875653
"h22","14/09/2021 13:54:11",-0.7063458614,0.4327896038
"h4","14/09/2021 12:56:41",-0.3486239009,0.6987879847
"h20","14/09/2021 13:46:43",-0.2683657687,0.1140501646
"h8","14/09/2021 13:19:06",-0.3440377219,0.2057737442
"h1","14/09/2021 12:26:42",-0.07345316204,0.4144448879
"h16","14/09/2021 13:32:27",0.86212735,0.3181351293
"h23","14/09/2021 13:57:58",-0.7246905773,0.7721668484
"h3","14/09/2021 12:53:22",-0.5481226865,0.04525747991
"h18","14/09/2021 13:38:22",0.1306318026,0.5359786309
"h19","14/09/2021 13:42:51",-0.2660726792,0.4969961095
"h9","14/09/2021 13:23:41",-0.9815166002,0.04296439042
"h2","14/09/2021 12:33:48",-1.155791402,0.4534274092
"h17","14/09/2021 13:32:27",0.7405936071,0.5359786309
"h12","14/09/2021 13:34:29",-1.16037758,0.5015822885
"h26","14/09/2021 14:09:32",-0.3807271537,1.065682303
"h7","14/09/2021 13:08:42",-0.7453283827,0.7217188796
"h14","14/09/2021 14:05:06",-1.820787354,0.9602001866
"h21","14/09/2021 13:50:23",-0.676535698,0.1002916277
"h13","14/09/2021 13:38:28",-1.751994669,0.4832375726
"h24","14/09/2021 14:01:55",-0.2683657687,0.7813392063
"h28","14/09/2021 14:16:28",-0.4862092703,0.9372692917
"h11","14/09/2021 13:31:08",-1.025085301,0.05442983787
"h15","14/09/2021 12:34:39",0.7520590545,0.503875378
"h27","14/09/2021 14:12:52",-0.7453283827,1.054216856
"h10","14/09/2021 13:26:59",-0.3142275585,0.2149461022
"o9","05/10/2021 12:07:10",-1.526815749,0.05999811972
"o10","05/10/2021 12:21:16",-1.190401478,0.149931541
"o11","05/10/2021 12:29:00",-1.019285074,0.9585672453
"o3","05/10/2021 12:36:21",0.7468855889,0.0807316616
"o12","05/10/2021 12:43:12",-0.08202677674,0.1503161183
"o13","05/10/2021 12:50:12",-1.065423144,0.9584395712
"o14","05/10/2021 12:57:04",-0.08265542624,0.6941577796
"o15","05/10/2021 13:05:59",-0.0686083553,0.4135509707
"o4","05/10/2021 13:14:05",0.881031549,0.9329469911
"o17","05/10/2021 13:21:48",-0.89283641,0.4246081216
"o18","05/10/2021 13:28:28",-0.1304873714,0.1576227635
"o19","05/10/2021 13:35:51",-0.3413988309,0.04389063162
"o5","05/10/2021 13:44:53",0.1415413338,0.695849562
"o6","05/10/2021 13:52:11",0.220729828,0.9406998512
"o7","05/10/2021 13:58:52",0.5424274229,0.7083532523
"o8","05/10/2021 14:06:00",0.5447556572,0.1425665911
"o20","05/10/2021 14:13:28",-0.483463675,0.1216909595
"o22","05/10/2021 14:19:40",-0.07655535426,0.3126091789
